iter	Logloss
0	0.6736936167
1	0.6535883451
2	0.6349267788
3	0.6188514915
4	0.6027418897
5	0.5896203206
6	0.5750460775
7	0.5633032141
8	0.5519088001
9	0.5414604516
10	0.5342671031
11	0.5249626512
12	0.5165635241
13	0.5082802481
14	0.4995378418
15	0.4952927602
16	0.4887928155
17	0.483067661
18	0.4771666365
19	0.4714783641
20	0.4681414604
21	0.4661790687
22	0.4600426557
23	0.4550417028
24	0.4511982777
25	0.447970347
26	0.4439027215
27	0.4401622001
28	0.4368430129
29	0.4341056186
30	0.430684466
31	0.4284082689
32	0.4256816333
33	0.4223355222
34	0.4185342309
35	0.4163271629
36	0.4136974617
37	0.4127415942
38	0.410274884
39	0.408586795
40	0.4065311134
41	0.4049979584
42	0.4037183437
43	0.4013420699
44	0.4000914128
45	0.3987045123
46	0.39775327
47	0.3967109393
48	0.3958545448
49	0.3951878383
50	0.3938333129
51	0.3925563101
52	0.3909573893
53	0.3903158248
54	0.3889681273
55	0.3879645402
56	0.3868510167
57	0.3861393208
58	0.3854265767
59	0.3843599381
60	0.3839632409
61	0.3830393136
62	0.3812620708
63	0.3791206471
64	0.3783332816
65	0.3776177991
66	0.3773083392
67	0.3762204197
68	0.3761384028
69	0.3753253619
70	0.3743307682
71	0.3737191486
72	0.3728532929
73	0.3722229878
74	0.3715114548
75	0.370813996
76	0.3706087832
77	0.3691974219
78	0.3689545205
79	0.3683094569
80	0.3674805636
81	0.3666156263
82	0.3665161624
83	0.3663616693
84	0.3659624798
85	0.3656768366
86	0.3648316773
87	0.3642930049
88	0.3631918034
89	0.3627070296
90	0.3623762763
91	0.3611961715
92	0.3606489249
93	0.3597991253
94	0.3591276082
95	0.3584145313
96	0.3574925093
97	0.357404742
98	0.3568805254
99	0.3558974314
100	0.3555532076
101	0.3550135057
102	0.3543598988
103	0.3538501303
104	0.353417473
105	0.3529671998
106	0.3525478591
107	0.3518729012
108	0.3517448988
109	0.3513063828
110	0.3510922913
111	0.3504095193
112	0.3498705455
113	0.3495445044
114	0.3493026844
115	0.3488470069
116	0.3483717932
117	0.3472412569
118	0.3468385895
119	0.3463786524
120	0.3459996531
121	0.3455797301
122	0.3450596436
123	0.3447006658
124	0.3443646375
125	0.3442850825
126	0.3438323318
127	0.3437052656
128	0.3436581111
129	0.343544508
130	0.3432611433
131	0.3428406182
132	0.342557148
133	0.3423805419
134	0.3418161972
135	0.3413267042
136	0.3407110604
137	0.3402136165
138	0.3398396664
139	0.3393361712
140	0.3388530198
141	0.3388037839
142	0.3386853123
143	0.3383572119
144	0.3382234835
145	0.3377751829
146	0.3371453716
147	0.3367442721
148	0.3363077915
149	0.3350878367
150	0.3348382793
151	0.3344156661
152	0.3340637528
153	0.3336044933
154	0.3335704765
155	0.3332856239
156	0.3329306906
157	0.3329296817
158	0.3324232524
159	0.3320035841
160	0.3317016679
161	0.3316318997
162	0.331124791
163	0.3306570008
164	0.3299235177
165	0.3293780241
166	0.3289827737
167	0.3287754241
168	0.3282824272
169	0.3279472059
170	0.3277166048
171	0.3274446224
172	0.3270786644
173	0.3267629764
174	0.3263678721
175	0.3263068361
176	0.3259170885
177	0.3255643353
178	0.3254486489
179	0.3245927247
180	0.3245078977
181	0.3242509054
182	0.3239647136
183	0.3237479322
184	0.3230274935
185	0.3223074315
186	0.3217481604
187	0.321208365
188	0.3210784496
189	0.3209321358
190	0.320272666
191	0.3200730167
192	0.31982469
193	0.3196054001
194	0.3190241817
195	0.3188692562
196	0.3186538439
197	0.3183100274
198	0.3180939675
199	0.3177402692
200	0.3176964531
201	0.3171618971
202	0.3168690681
203	0.316539536
204	0.3163367757
