iter	Logloss
0	0.6709524001
1	0.6490882867
2	0.6303298891
3	0.6124512947
4	0.5974912098
5	0.5821660856
6	0.5689899435
7	0.557093186
8	0.5464116116
9	0.5357869322
10	0.5258895211
11	0.5143477344
12	0.5055917694
13	0.4982406628
14	0.4906381788
15	0.4840104223
16	0.4764893532
17	0.470115874
18	0.4643565386
19	0.4593074376
20	0.456040524
21	0.4519349638
22	0.4478312664
23	0.4441654806
24	0.4394504297
25	0.4363391138
26	0.4331189706
27	0.4295426394
28	0.426186152
29	0.4235814754
30	0.4205055184
31	0.4176092114
32	0.4146295913
33	0.4121894895
34	0.4101374706
35	0.4072462641
36	0.4053716272
37	0.4039406821
38	0.4026722362
39	0.4011422058
40	0.3989808292
41	0.3975634238
42	0.3963567624
43	0.3950789298
44	0.3922821131
45	0.3910821221
46	0.3895358321
47	0.3888498484
48	0.3877045629
49	0.3866309147
50	0.3862671837
51	0.3848273812
52	0.3836635334
53	0.3822578913
54	0.3808847582
55	0.3793044104
56	0.3783441684
57	0.3773473069
58	0.3770398222
59	0.3767341518
60	0.3756810566
61	0.3748457714
62	0.3741401578
63	0.3731469808
64	0.3721288306
65	0.3715180782
66	0.3696211141
67	0.3684012853
68	0.3677542601
69	0.3665764583
70	0.3660307426
71	0.3655716611
72	0.3650374862
73	0.3644413522
74	0.363937657
75	0.363121709
76	0.3625149441
77	0.3623837782
78	0.3603255712
79	0.3595865975
80	0.3594284342
81	0.3586409395
82	0.3578705013
83	0.3574707921
84	0.3568663551
85	0.3562268948
86	0.3555013449
87	0.3547205057
88	0.3528839349
89	0.3523949847
90	0.3519273191
91	0.3518123935
92	0.3507617923
93	0.3502519238
94	0.3496577025
95	0.3488674273
96	0.3487388954
97	0.3478550383
98	0.3470003246
99	0.3469324794
100	0.3466727627
101	0.3462694023
102	0.3457989327
103	0.3453324962
104	0.3449732789
105	0.3446346721
106	0.3440270668
107	0.3438431731
108	0.343744462
109	0.3436808657
110	0.3432328225
111	0.3426479805
112	0.342406138
113	0.3419311002
114	0.3416969995
115	0.3412690442
116	0.3409795123
117	0.3404395296
118	0.3400628963
119	0.3394997914
120	0.339238699
121	0.3388973213
122	0.3382922566
123	0.3379186618
124	0.3375872294
125	0.3362981958
126	0.3359134143
127	0.3350080339
128	0.33480647
129	0.3344843944
130	0.3340484357
131	0.3331705452
132	0.3327557553
133	0.332553982
134	0.332281888
135	0.3320078201
136	0.3319501886
137	0.3315185868
138	0.3311908306
139	0.3310200046
140	0.3308231099
141	0.3307391672
142	0.3307185884
143	0.330382974
144	0.3299846633
145	0.3297995519
146	0.3296763984
147	0.3295544311
148	0.3292678086
149	0.3289402447
150	0.3285052977
151	0.3276430363
152	0.3273803523
153	0.3273030657
154	0.3270670885
155	0.3267376014
156	0.3264834907
157	0.3261252411
158	0.3256025114
159	0.3252839338
160	0.3248559606
161	0.3246119378
162	0.3245580152
163	0.3243798244
164	0.3238544805
165	0.3232416993
166	0.3230041794
167	0.3228063801
168	0.3226631896
169	0.3223468142
170	0.322204923
171	0.3220107215
172	0.3220069931
173	0.3216377817
174	0.3211055518
175	0.3207413663
176	0.3202889601
177	0.3201537332
178	0.3195671662
179	0.3192715056
180	0.3190314027
181	0.3186482389
182	0.3183152365
183	0.3180723832
184	0.3176302437
185	0.3169036663
186	0.3164759343
187	0.3160993436
188	0.3156171865
189	0.3152527899
190	0.3149966773
191	0.3148767359
192	0.3148055026
193	0.3140568187
194	0.3136432783
195	0.3130510039
196	0.3124756688
197	0.3121887888
198	0.3119992781
199	0.3117851593
200	0.3116613342
201	0.311554665
202	0.3114801124
203	0.311144682
204	0.3110848486
205	0.3106081888
206	0.3104979076
207	0.3099558002
208	0.3097815125
209	0.3095381411
210	0.3090301015
211	0.3088999756
212	0.3086382595
213	0.3081914578
214	0.3080818096
215	0.30773688
216	0.3074214347
217	0.3070914462
218	0.3067704527
219	0.3067703269
220	0.3067327291
221	0.3067044285
222	0.3061044012
223	0.3058527212
224	0.3058144742
225	0.3053571091
226	0.305144269
227	0.3050929432
228	0.3050217044
229	0.3049903858
230	0.3047117478
231	0.3045025825
232	0.3041062322
233	0.3037676964
234	0.3036799905
235	0.3034726666
236	0.3034726194
237	0.3033670044
238	0.3030467146
239	0.3028400857
240	0.3026045255
241	0.302431975
242	0.3023669313
243	0.3021539515
244	0.3018870449
245	0.3018374324
246	0.3015334162
247	0.30107374
248	0.3005803935
249	0.3004308709
250	0.3001242182
251	0.29974377
252	0.2996491807
253	0.2994590903
254	0.2990185945
255	0.298866048
256	0.2985261264
257	0.2982222668
258	0.2978489474
259	0.2975045953
260	0.2974804623
261	0.2972702597
262	0.2970125167
263	0.2967434119
264	0.2965684943
265	0.2962286284
266	0.2959744399
267	0.2955262361
268	0.2949369815
269	0.2947415075
270	0.29443189
271	0.2940064211
272	0.2936872215
273	0.2930358086
274	0.2928608446
275	0.2928382991
276	0.2927226751
277	0.2927208656
278	0.2923017617
279	0.2921929457
280	0.2917765849
281	0.291239568
282	0.2908414252
283	0.2906781773
284	0.2903270363
285	0.2901159851
286	0.2897039397
287	0.2894797663
288	0.2893818046
289	0.2893543028
290	0.288824608
291	0.2882712631
292	0.2880036467
293	0.2875745568
294	0.287478599
295	0.2870015257
296	0.2863896559
297	0.2860894164
298	0.2860093075
299	0.2856586121
300	0.2852753875
301	0.2851731341
302	0.2850773929
303	0.2846946404
304	0.2842965932
305	0.2840858176
306	0.2840049202
307	0.2838773568
308	0.2836136795
309	0.28344971
310	0.2830639784
311	0.282828532
312	0.2822896155
313	0.2820945857
314	0.2818067936
315	0.281519708
316	0.2811422743
317	0.280797529
318	0.2804209239
319	0.2802834769
320	0.2799077201
