iter	Logloss
0	0.6785478613
1	0.6594484656
2	0.6424058224
3	0.6262123357
4	0.6124305953
5	0.6003763974
6	0.5880056946
7	0.5766589924
8	0.5659769101
9	0.5582945095
10	0.548656385
11	0.5408345516
12	0.530329067
13	0.522124068
14	0.5153971516
15	0.5102220426
16	0.5025643687
17	0.4976871777
18	0.4924783513
19	0.4883276401
20	0.4813180083
21	0.476474344
22	0.4712183594
23	0.4666186872
24	0.463682869
25	0.4611624911
26	0.4579899963
27	0.4520284351
28	0.4482424506
29	0.4445141062
30	0.4398027526
31	0.4370700702
32	0.4336025399
33	0.4317128776
34	0.4294897303
35	0.4263205803
36	0.424449936
37	0.4222670382
38	0.420588113
39	0.4195514134
40	0.4173151721
41	0.4158917549
42	0.4137911261
43	0.4126083642
44	0.4114842612
45	0.4097289133
46	0.4071008606
47	0.4052641713
48	0.4042974793
49	0.4035748879
50	0.4028540073
51	0.4006601201
52	0.3988255389
53	0.3981042958
54	0.3976365492
55	0.3971536023
56	0.3963473638
57	0.3946779517
58	0.393970853
59	0.392397386
60	0.3915418091
61	0.3908724884
62	0.3900877131
63	0.3888367305
64	0.3884231901
65	0.3868421833
66	0.3862632169
67	0.3850095974
68	0.3844140814
69	0.3838634827
70	0.383294939
71	0.3828384494
72	0.381677198
73	0.3807142193
74	0.3801729415
75	0.3796221068
76	0.3792454536
77	0.3786413311
78	0.3783163965
79	0.3776258725
80	0.3772177977
81	0.3768837719
82	0.3765676534
83	0.3756584788
84	0.3742392455
85	0.3740902556
86	0.3726018877
87	0.3721312107
88	0.3718470922
89	0.3714813483
90	0.3712502486
91	0.3707402598
92	0.3704319906
93	0.3702610792
94	0.3700797937
95	0.3695664113
96	0.3693460316
97	0.3687005556
98	0.3682959887
99	0.3679946944
100	0.3677746773
101	0.3674426609
102	0.3668810169
103	0.3667400852
104	0.366502149
105	0.3661778463
106	0.3658346389
107	0.3657307244
108	0.3656633002
109	0.3646821576
110	0.3634958971
111	0.3629117277
112	0.362691006
113	0.3625210525
114	0.3618046941
115	0.3615486062
116	0.3613373347
117	0.3612560642
118	0.3610335733
119	0.3608883349
120	0.3607607029
121	0.3601038189
122	0.3598176293
123	0.3591240694
124	0.3588547873
125	0.3587042724
126	0.3585304062
127	0.3584364482
128	0.3581824312
129	0.3577538167
130	0.3570073729
131	0.3566258803
132	0.3565222711
133	0.3563919923
134	0.356244361
135	0.3555799988
136	0.3552982806
137	0.3546503517
138	0.3545189983
139	0.3541439507
140	0.3539548763
141	0.3536757313
142	0.3534223267
143	0.353244341
144	0.3531053885
145	0.3527242956
146	0.3524986682
147	0.3522158655
148	0.3517087122
149	0.3515183993
150	0.3514052946
151	0.3512323164
152	0.3511003754
153	0.3506916599
154	0.3503755825
155	0.3498531102
156	0.3495741707
157	0.3485294909
158	0.3483072208
159	0.348108378
160	0.3477849231
161	0.3476879186
162	0.3475456142
163	0.3474395671
164	0.3472743372
165	0.3468922397
166	0.3468174921
167	0.3466494591
168	0.3462785641
169	0.3461977016
170	0.3455470402
171	0.3453769976
172	0.345252011
173	0.3450936184
174	0.3449495235
175	0.3447721304
176	0.3443255776
177	0.3441594912
178	0.3439401724
179	0.3437217229
180	0.343570707
181	0.3433712628
182	0.343319117
183	0.3432267615
184	0.3430924606
185	0.3425355461
186	0.3422494304
187	0.3417158145
188	0.3413263908
189	0.3413199803
190	0.3411507022
191	0.3407116268
192	0.3403732597
193	0.3401881261
194	0.3400762416
195	0.3390224366
196	0.3389576195
197	0.3387591418
198	0.338696631
199	0.3384442181
200	0.3384035411
201	0.3382692559
202	0.3381178345
203	0.3378474849
204	0.3375210699
205	0.3374485577
206	0.3373171416
207	0.3370952903
208	0.336725985
209	0.3364495692
210	0.3363853449
211	0.3361807993
212	0.3361160666
213	0.3358886053
214	0.335367327
215	0.3350857995
216	0.3349676835
217	0.3347602793
218	0.3345529785
219	0.3344711165
220	0.3340740737
221	0.3336432938
222	0.3333505256
223	0.3331604043
224	0.333049924
225	0.3329241689
226	0.3328125058
227	0.3326239067
228	0.3325262771
229	0.3324534853
230	0.3321134365
231	0.3320297423
232	0.3316946906
233	0.3316420554
234	0.3315039078
235	0.331417107
236	0.331161451
237	0.3308762498
238	0.3306057778
239	0.3304215525
240	0.3298771465
241	0.3298575442
242	0.329328376
243	0.3287851154
244	0.32866999
245	0.3286177294
246	0.3283645742
247	0.3281678494
248	0.3279995012
249	0.3274778469
250	0.3274208597
251	0.3272583492
252	0.3269370052
253	0.3268397554
254	0.3267159021
255	0.3264281936
256	0.3260785769
257	0.3259548213
258	0.3257485984
259	0.3255076895
260	0.3253268452
261	0.3251678013
262	0.3251165517
263	0.3246208229
264	0.324540819
265	0.323969167
266	0.3237436343
267	0.3230526945
268	0.3227413063
269	0.3221657358
270	0.3215869279
271	0.3215185818
272	0.3212644494
273	0.3210428834
274	0.3203402211
275	0.3201335257
276	0.3200424744
277	0.3199134559
278	0.3197657391
279	0.3194554349
280	0.3191932967
281	0.3191710346
282	0.318858991
283	0.3180708814
284	0.317983146
285	0.3176468727
286	0.317296883
287	0.3167410823
288	0.3160943796
289	0.3152070926
290	0.3150826809
291	0.31484651
292	0.3143257072
293	0.3140473907
294	0.313703267
295	0.3134632138
296	0.3130058135
297	0.312154741
298	0.3119969808
299	0.311306623
300	0.310531101
301	0.3102686634
302	0.3100091535
303	0.3094524813
304	0.3088946677
305	0.3081644338
306	0.3076970096
307	0.3070655188
308	0.3067446777
309	0.3064130874
310	0.3053200941
311	0.3050749142
312	0.3044211426
313	0.3041291138
314	0.3036741332
315	0.3027666203
316	0.3025338441
317	0.3018936773
318	0.3014689712
319	0.3006855129
320	0.3002453622
321	0.2997814152
322	0.2991004661
323	0.2985836149
324	0.2984375216
325	0.2977621853
326	0.2974255456
327	0.2966630371
328	0.2962896229
329	0.2960244293
330	0.2954029359
331	0.2943264952
332	0.293758981
333	0.2931292817
334	0.292405455
335	0.2922484851
336	0.2915909095
337	0.2909831638
338	0.2899766193
339	0.2887938772
340	0.2883928882
341	0.2876483639
342	0.2872306674
343	0.286356499
344	0.2851768853
345	0.2847667887
346	0.2839280151
347	0.2835866108
348	0.2828926149
349	0.2822892486
350	0.2816070963
351	0.2808840725
352	0.280480975
353	0.2798395199
354	0.2793696964
355	0.2786617255
356	0.2779938653
357	0.2770837353
358	0.2760771074
359	0.2754785742
360	0.2748875152
361	0.2740250086
362	0.2729222856
363	0.2722079527
364	0.271454281
365	0.2707834932
366	0.2700487349
367	0.2692628948
368	0.2687528411
369	0.2679881263
370	0.2671690111
371	0.2665082705
372	0.2660498766
373	0.265246006
374	0.2643291589
375	0.2634850386
376	0.262474941
377	0.2620637459
378	0.2614547062
379	0.2606120787
380	0.2601267678
381	0.2593751064
382	0.2587035046
383	0.2583423615
384	0.2574299956
385	0.2565438494
386	0.2558809732
387	0.2551728124
388	0.2544488394
389	0.2536942273
390	0.2533915081
391	0.2526252563
392	0.2519274526
393	0.2515690174
394	0.2508776761
395	0.2499536593
396	0.2494790602
397	0.2490535132
398	0.2485520716
399	0.2483147884
400	0.2476601383
401	0.2468589147
402	0.2459493503
403	0.2454468834
404	0.2449856905
405	0.2443707271
406	0.2438359531
407	0.2432700623
408	0.2426839632
409	0.2420789682
410	0.241666706
411	0.241302691
412	0.2405460468
413	0.2398065026
414	0.2390868169
415	0.2384904715
416	0.2379233397
417	0.2374863052
418	0.2368486155
419	0.2361374143
420	0.2358318643
421	0.2351661337
422	0.2347638826
423	0.2339737132
424	0.2334760298
425	0.232911512
426	0.2324714133
427	0.2322070126
428	0.2316143764
429	0.2310626499
430	0.2304831418
431	0.2302351412
432	0.2300519227
433	0.229348412
434	0.2287584386
435	0.228392787
436	0.2278666509
437	0.2274669184
438	0.2268962879
439	0.2265052062
440	0.225848371
441	0.2251836964
442	0.2247984748
443	0.2240294606
444	0.223416157
445	0.2229681385
446	0.2224492898
447	0.2216337835
448	0.2212849797
449	0.2207143535
450	0.2202858185
451	0.2196598694
452	0.2194595264
453	0.2193149165
454	0.2188676541
455	0.2181672734
456	0.217860156
457	0.2173856807
458	0.2167305516
459	0.2161388746
460	0.2156510611
461	0.2151606241
462	0.2147147067
463	0.2139742297
464	0.2133265282
465	0.2129454165
466	0.2122021088
467	0.2116865908
468	0.2112484157
469	0.2108733738
470	0.2103937147
471	0.2101600578
472	0.2098440066
473	0.2093435554
474	0.2090622292
475	0.2085750248
476	0.2082663273
477	0.207710681
478	0.2073946876
479	0.2068188452
480	0.2062847904
481	0.205959573
482	0.2058072173
483	0.2055973738
484	0.2050772123
485	0.2045212054
486	0.2043300638
487	0.2040403995
488	0.2038744145
489	0.2033949883
490	0.2032258217
491	0.2030610578
492	0.2028585605
493	0.2024592411
494	0.2022251949
495	0.2015889602
496	0.2014084774
497	0.2012934175
498	0.2007401561
499	0.2005726882
500	0.2000236286
501	0.1996660695
502	0.1992973205
503	0.1991726937
504	0.1986876321
505	0.1981998447
506	0.1976484102
507	0.1972602051
508	0.1966851932
509	0.1961906842
510	0.1959934055
511	0.1955321516
512	0.1951042734
513	0.1949643737
514	0.1946775749
515	0.1942904438
516	0.1939108177
517	0.1936068651
518	0.1934657936
519	0.1929741598
520	0.1926980993
521	0.1922024624
522	0.1917930297
523	0.1911200668
524	0.1906866213
525	0.1902634489
526	0.1900585058
527	0.1894154841
528	0.1890093908
529	0.188664468
530	0.1884909904
531	0.1882477542
532	0.1881471283
533	0.1877345741
534	0.18737262
535	0.1871877039
536	0.1868771066
537	0.186570958
538	0.186338766
539	0.1860142277
540	0.1858434877
541	0.1856540008
542	0.1855168523
543	0.185163991
544	0.1849780173
545	0.1844753802
546	0.1840769015
547	0.1835878585
548	0.1834424775
549	0.1832132759
550	0.1829841414
551	0.1828298244
552	0.1826840945
553	0.1823964889
554	0.1820190116
555	0.1817996219
556	0.181587821
557	0.181180161
558	0.1809479526
559	0.1804483477
560	0.1801979919
561	0.1796657456
562	0.1794299215
563	0.1790416994
564	0.1788268167
565	0.1786207136
566	0.1784009476
567	0.1777582433
568	0.1772584734
569	0.1770379917
570	0.1768734266
571	0.1768241581
572	0.1764736517
573	0.1761226042
574	0.1758800926
575	0.1754447858
576	0.1751046206
577	0.1749757103
578	0.1746667819
579	0.1745668803
580	0.1743258871
581	0.1737891872
582	0.173584881
583	0.173308196
584	0.1730156946
585	0.172854115
586	0.1723972213
587	0.1720763608
588	0.1718569634
589	0.171668396
590	0.1714146819
591	0.1711223476
592	0.1710133716
593	0.1706801352
594	0.1703757149
595	0.1699087241
596	0.1694545922
597	0.1693531342
598	0.1691616167
599	0.1687812083
600	0.1685276068
601	0.1680982977
602	0.1677823856
603	0.1674890995
604	0.16725368
605	0.1671030769
606	0.1666402806
607	0.1665399076
608	0.1661787905
609	0.166025525
610	0.1659487498
611	0.1658882224
612	0.1657705795
613	0.1654088103
614	0.1652923852
615	0.1651315522
616	0.1647011786
617	0.16448598
618	0.1641995273
619	0.1640161069
620	0.1639261002
621	0.1634409028
622	0.1631810048
623	0.1629990414
624	0.1627885675
625	0.1623745777
626	0.1622740649
627	0.1620447074
628	0.161913275
629	0.161611538
630	0.1612530565
631	0.1611466745
632	0.1607788891
633	0.1605481111
634	0.1603468186
635	0.1601084048
636	0.1599239911
637	0.1598401512
638	0.1597550537
639	0.1594985476
640	0.1590453929
641	0.158697485
642	0.1583965065
643	0.158032788
644	0.1576939279
645	0.1574750771
646	0.1571360664
647	0.1568236158
648	0.1566134912
649	0.156383248
650	0.1562377054
651	0.1559210852
652	0.1558015009
653	0.1557368159
654	0.1555128197
655	0.1554604403
656	0.1552745726
657	0.154984035
658	0.154823267
659	0.1547604057
660	0.1546432661
661	0.1543051358
662	0.1540435639
663	0.1538184187
664	0.1535995787
665	0.1533511727
666	0.1530380391
667	0.1528841246
668	0.152772549
669	0.152398004
670	0.1520461753
671	0.151943027
672	0.1517525962
673	0.1515571981
674	0.1514271965
675	0.1510735056
676	0.1508322187
677	0.1505694892
678	0.150217647
679	0.1499597991
680	0.1498618409
681	0.1497600398
682	0.1494722318
683	0.1492425834
684	0.1489200339
685	0.1486581445
686	0.148550377
687	0.1484794195
688	0.1484078653
689	0.1482966552
690	0.1479762071
691	0.1477748024
692	0.1476916703
693	0.1474478901
694	0.1472716023
695	0.1470575705
696	0.1470051851
697	0.1468659605
698	0.1467433853
699	0.1464671441
700	0.1463248109
701	0.1459920531
702	0.1458059997
703	0.1456384874
704	0.1454212464
705	0.1450539284
706	0.1450233946
707	0.1448310832
708	0.1447643014
709	0.1446074342
710	0.1443894542
711	0.1442315758
712	0.1440269121
713	0.1438766745
714	0.1436155592
715	0.1434284286
716	0.1432590931
717	0.1432004866
718	0.1429849781
719	0.1428274122
720	0.1426740627
721	0.1425347429
722	0.1423802973
723	0.142199337
724	0.1418294585
725	0.1415988468
726	0.1415075604
727	0.141393549
728	0.1410994921
729	0.1409038284
730	0.14066909
731	0.1405266367
732	0.1404683225
733	0.1402081976
734	0.1399358338
735	0.1395836991
736	0.1392366359
737	0.1389676153
738	0.1387131126
739	0.1384813703
740	0.1383969283
741	0.138227511
742	0.1379621562
743	0.1377625249
744	0.1376067791
745	0.1373362059
746	0.1369804894
747	0.136739199
748	0.1365509523
749	0.1365156607
750	0.1363208486
751	0.136217389
752	0.1360292475
753	0.1358041382
754	0.135616823
755	0.1355354914
756	0.1354717197
757	0.1351833927
758	0.1349086891
759	0.1346899747
760	0.1345977314
761	0.1344707685
762	0.1342997973
763	0.1342187912
764	0.1340284475
765	0.1337369159
766	0.1334537525
767	0.133181016
768	0.1331251363
769	0.1330324168
770	0.1327773353
771	0.1325817153
772	0.1325187941
773	0.1323034532
774	0.1321380437
775	0.1320733443
776	0.1319339738
777	0.1318368331
778	0.1318021304
779	0.1315381129
780	0.1313286363
781	0.1311174674
782	0.130852175
783	0.1306377348
784	0.1304518817
785	0.1302911809
786	0.1300836629
787	0.1299181108
788	0.1298387209
789	0.1297065472
790	0.1296248473
791	0.1295708189
792	0.1294714042
793	0.1294413226
794	0.1292033683
795	0.1289873592
796	0.1288991209
797	0.1287207931
798	0.1285366297
799	0.1283352682
800	0.1280465398
801	0.1279300531
802	0.1278296882
803	0.1276683831
804	0.1276093047
805	0.1273718284
806	0.1272330176
807	0.1270637272
808	0.1269887801
809	0.1268004023
810	0.1265642154
811	0.126406979
812	0.126211108
813	0.126070151
814	0.1259000373
815	0.1258059079
816	0.1255349501
817	0.1254215897
818	0.1252861195
819	0.1252019046
820	0.1249962051
821	0.1248995581
822	0.124704586
823	0.1246045537
824	0.124410729
825	0.1243527314
826	0.1242296995
827	0.1239495205
828	0.1237262883
829	0.1236647724
830	0.1234193095
831	0.1231942418
832	0.1230084785
833	0.122896931
834	0.1226372251
835	0.1225042942
836	0.1223492071
837	0.1221530819
838	0.1219856978
839	0.1218555367
840	0.1217872464
841	0.1216990073
842	0.1215482017
843	0.1213007747
844	0.1212241327
