iter	Passed	Remaining
0	7	6836
1	14	6607
2	19	5921
3	28	6320
4	34	6129
5	40	6042
6	47	6081
7	53	5978
8	61	6064
9	68	6092
10	75	6133
11	81	6008
12	87	5965
13	96	6108
14	104	6152
15	111	6168
16	116	6048
17	123	6051
18	137	6383
19	147	6470
20	153	6420
21	161	6454
22	171	6522
23	178	6533
24	188	6609
25	195	6560
26	200	6481
27	207	6452
28	214	6451
29	221	6429
30	227	6388
31	233	6321
32	238	6268
33	244	6236
34	253	6266
35	263	6320
36	268	6257
37	273	6201
38	280	6184
39	287	6181
40	296	6216
41	304	6229
42	312	6223
43	320	6226
44	328	6250
45	335	6234
46	342	6222
47	348	6185
48	354	6161
49	365	6207
50	375	6242
51	381	6228
52	460	7358
53	469	7352
54	477	7339
55	487	7350
56	495	7326
57	503	7309
58	511	7287
59	523	7322
60	529	7280
61	538	7280
62	545	7243
63	551	7200
64	558	7178
65	566	7155
66	574	7142
67	582	7128
68	589	7094
69	595	7061
70	601	7026
71	607	6991
72	616	6980
73	624	6967
74	632	6952
75	641	6953
76	645	6902
77	652	6880
78	660	6863
79	669	6859
80	676	6840
81	686	6843
82	691	6808
83	696	6769
84	704	6752
85	710	6725
86	722	6752
87	733	6765
88	739	6742
89	747	6728
90	757	6729
91	764	6716
92	771	6693
93	776	6660
94	782	6632
95	790	6616
96	804	6657
97	819	6706
98	837	6779
99	855	6840
100	871	6891
101	887	6942
102	905	7010
103	922	7059
104	930	7041
105	938	7032
106	945	7006
107	951	6976
108	956	6944
109	966	6940
110	975	6934
111	987	6948
112	1007	7015
113	1027	7085
114	1045	7136
115	1053	7118
116	1059	7093
117	1065	7062
118	1072	7038
119	1078	7011
120	1083	6976
121	1092	6964
122	1098	6938
123	1105	6915
124	1110	6884
125	1115	6853
126	1119	6816
127	1131	6825
128	1138	6806
129	1149	6808
130	1157	6796
131	1172	6820
132	1178	6796
133	1185	6778
134	1193	6761
135	1202	6753
136	1208	6731
137	1213	6702
138	1219	6679
139	1226	6658
140	1234	6643
141	1242	6630
142	1250	6620
143	1257	6604
144	1268	6603
145	1276	6589
146	1281	6566
147	1287	6543
148	1294	6524
149	1300	6504
150	1307	6484
151	1312	6460
152	1321	6454
153	1330	6443
154	1338	6433
155	1350	6439
156	1356	6418
157	1365	6411
158	1372	6395
159	1377	6371
160	1386	6366
161	1393	6348
162	1400	6331
163	1408	6319
164	1413	6297
165	1419	6276
166	1424	6253
167	1429	6229
168	1434	6205
169	1441	6189
170	1449	6178
171	1459	6177
172	1464	6154
173	1471	6140
174	1480	6133
175	1491	6135
176	1497	6117
177	1503	6097
178	1509	6081
179	1518	6072
180	1527	6066
181	1532	6044
182	1538	6029
183	1546	6019
184	1554	6006
185	1562	5999
186	1568	5980
187	1575	5965
188	1586	5967
189	1591	5948
190	1600	5941
191	1605	5919
192	1612	5905
193	1616	5883
194	1622	5866
195	1632	5862
196	1636	5840
197	1643	5828
198	1650	5812
199	1657	5800
200	1665	5793
201	1673	5781
202	1685	5787
203	1693	5776
204	1697	5754
205	1705	5747
206	1713	5738
207	1720	5724
208	1729	5719
209	1736	5705
210	1743	5694
211	1752	5688
212	1762	5685
213	1770	5674
214	1776	5659
215	1781	5641
216	1788	5628
217	1796	5621
218	1804	5611
219	1813	5605
220	1821	5596
221	1830	5590
222	1843	5595
223	1849	5582
224	1858	5575
225	1865	5563
226	1872	5551
227	1880	5541
228	1886	5526
229	1892	5513
230	1897	5496
231	1905	5486
232	1911	5471
233	1915	5451
234	1923	5441
235	1932	5436
236	1938	5422
237	1949	5421
238	1955	5408
239	1961	5394
240	1970	5387
241	1979	5381
242	1987	5373
243	1994	5363
244	2001	5350
245	2007	5337
246	2015	5329
247	2023	5318
248	2032	5312
249	2041	5307
250	2047	5295
251	2056	5287
252	2065	5281
253	2072	5270
254	2080	5262
255	2087	5250
256	2099	5252
257	2107	5244
258	2116	5237
259	2124	5229
260	2132	5220
261	2139	5208
262	2148	5204
263	2157	5198
264	2164	5187
265	2171	5176
266	2177	5163
267	2191	5167
268	2201	5163
269	2210	5157
270	2219	5151
271	2226	5140
272	2236	5136
273	2245	5130
274	2255	5125
275	2263	5118
276	2269	5105
277	2277	5096
278	2288	5093
279	2297	5088
280	2314	5099
281	2330	5107
282	2346	5115
283	2363	5126
284	2379	5134
285	2395	5142
286	2404	5135
287	2415	5133
288	2424	5125
289	2437	5127
290	2447	5121
291	2458	5118
292	2469	5115
293	2478	5109
294	2491	5108
295	2503	5107
296	2516	5110
297	2528	5107
298	2540	5106
299	2555	5110
300	2564	5104
301	2574	5096
302	2587	5097
303	2596	5090
304	2604	5080
305	2617	5080
306	2634	5088
307	2652	5097
308	2664	5096
309	2676	5093
310	2686	5088
311	2692	5074
312	2699	5062
313	2708	5054
314	2718	5048
315	2726	5038
316	2735	5030
317	2743	5021
318	2755	5018
319	2767	5016
320	2774	5003
321	2786	5001
322	2793	4989
323	2800	4979
324	2809	4969
325	2816	4959
326	2825	4951
327	2834	4942
328	2842	4933
329	2850	4923
330	2859	4915
331	2866	4904
332	2883	4909
333	2893	4903
334	2901	4893
335	2906	4879
336	2914	4869
337	2923	4860
338	2932	4852
339	2939	4841
340	2948	4833
341	2954	4821
342	2960	4808
343	2978	4814
344	2990	4811
345	2999	4802
346	3012	4800
347	3018	4787
348	3028	4781
349	3036	4770
350	3047	4766
351	3059	4763
352	3067	4752
353	3078	4748
354	3087	4740
355	3098	4734
356	3109	4730
357	3120	4723
358	3131	4718
359	3143	4714
360	3157	4713
361	3165	4704
362	3180	4705
363	3193	4701
364	3203	4695
365	3212	4687
366	3221	4679
367	3232	4673
368	3244	4668
369	3252	4658
370	3264	4655
371	3274	4647
372	3288	4645
373	3295	4635
374	3307	4630
375	3316	4621
376	3326	4614
377	3338	4609
378	3352	4608
379	3359	4597
380	3368	4588
381	3378	4580
382	3387	4572
383	3394	4561
384	3401	4550
385	3410	4540
386	3420	4533
387	3426	4521
388	3433	4510
389	3441	4500
390	3451	4493
391	3459	4483
392	3471	4477
393	3478	4467
394	3486	4457
395	3498	4452
396	3506	4442
397	3512	4430
398	3520	4421
399	3527	4409
400	3537	4401
401	3546	4392
402	3556	4385
403	3566	4378
404	3573	4368
405	3586	4363
406	3591	4350
407	3597	4338
408	3607	4331
409	3618	4324
410	3623	4311
411	3632	4302
412	3641	4294
413	3647	4282
414	3654	4271
415	3663	4261
416	3675	4257
417	3683	4247
418	3690	4236
419	3696	4224
420	3709	4220
421	3724	4219
422	3732	4209
423	3745	4204
424	3755	4197
425	3765	4189
426	3775	4182
427	3783	4172
428	3793	4164
429	3803	4157
430	3813	4149
431	3825	4144
432	3832	4133
433	3840	4123
434	3851	4117
435	3868	4116
436	3879	4110
437	3888	4101
438	3896	4092
439	3907	4085
440	3917	4077
441	3924	4066
442	3936	4060
443	3946	4053
444	3958	4047
445	3972	4043
446	3984	4037
447	3993	4029
448	4003	4021
449	4010	4010
450	4018	4000
451	4025	3989
452	4034	3980
453	4042	3970
454	4050	3961
455	4059	3952
456	4070	3946
457	4081	3938
458	4088	3928
459	4096	3918
460	4108	3912
461	4121	3907
462	4136	3904
463	4146	3896
464	4156	3888
465	4165	3879
466	4172	3868
467	4180	3858
468	4196	3856
469	4204	3846
470	4215	3839
471	4224	3830
472	4232	3820
473	4240	3810
474	4248	3801
475	4256	3791
476	4263	3780
477	4271	3770
478	4279	3761
479	4286	3751
480	4305	3750
481	4325	3751
482	4339	3746
483	4360	3747
484	4378	3746
485	4393	3742
486	4409	3739
487	4424	3735
488	4442	3734
489	4457	3730
490	4472	3725
491	4485	3720
492	4494	3710
493	4504	3702
494	4513	3692
495	4524	3685
496	4538	3679
497	4548	3671
498	4559	3663
499	4572	3658
500	4582	3649
501	4599	3646
502	4619	3646
503	4630	3638
504	4643	3631
505	4659	3627
506	4679	3627
507	4693	3621
508	4707	3615
509	4724	3612
510	4736	3605
511	4746	3597
512	4757	3589
513	4773	3584
514	4786	3578
515	4804	3575
516	4820	3570
517	4831	3562
518	4844	3556
519	4855	3548
520	4864	3538
521	4874	3529
522	4889	3524
523	4898	3515
524	4914	3510
525	4935	3509
526	4945	3500
527	4971	3502
528	4996	3503
529	5006	3494
530	5019	3488
531	5029	3478
532	5046	3474
533	5069	3474
534	5086	3470
535	5101	3464
536	5120	3461
537	5139	3458
538	5153	3451
539	5174	3449
540	5183	3439
541	5192	3429
542	5210	3425
543	5227	3421
544	5242	3414
545	5266	3414
546	5281	3408
547	5293	3400
548	5317	3399
549	5334	3394
550	5350	3388
551	5367	3383
552	5383	3378
553	5394	3368
554	5410	3363
555	5425	3356
556	5448	3355
557	5465	3350
558	5475	3339
559	5491	3334
560	5508	3328
561	5525	3323
562	5537	3314
563	5550	3306
564	5566	3300
565	5584	3295
566	5600	3289
567	5614	3281
568	5634	3277
569	5649	3270
570	5665	3264
571	5682	3258
572	5703	3255
573	5716	3246
574	5738	3243
575	5745	3231
576	5757	3222
577	5768	3213
578	5781	3205
579	5790	3194
580	5809	3189
581	5819	3179
582	5830	3170
583	5842	3161
584	5853	3152
585	5864	3142
586	5876	3133
587	5882	3121
588	5889	3109
589	5897	3098
590	5903	3086
591	5910	3075
592	5919	3064
593	5928	3054
594	5938	3044
595	5945	3032
596	5954	3022
597	5980	3020
598	5990	3010
599	6011	3005
600	6021	2995
601	6033	2986
602	6045	2977
603	6055	2967
604	6067	2958
605	6082	2950
606	6093	2941
607	6113	2935
608	6123	2926
609	6138	2918
610	6149	2908
611	6166	2901
612	6178	2892
613	6194	2885
614	6206	2876
615	6222	2868
616	6232	2858
617	6245	2849
618	6254	2839
619	6266	2830
620	6277	2820
621	6284	2808
622	6290	2796
623	6300	2786
624	6309	2776
625	6315	2764
626	6322	2752
627	6330	2741
628	6338	2730
629	6345	2719
630	6354	2708
631	6359	2696
632	6366	2685
633	6376	2675
634	6382	2663
635	6392	2653
636	6399	2642
637	6407	2631
638	6414	2619
639	6421	2608
640	6428	2597
641	6435	2586
642	6442	2574
643	6447	2563
644	6458	2553
645	6465	2542
646	6473	2531
647	6483	2521
648	6489	2509
649	6499	2499
650	6507	2488
651	6514	2477
652	6521	2466
653	6528	2455
654	6535	2444
655	6542	2433
656	6549	2422
657	6555	2410
658	6562	2399
659	6568	2388
660	6575	2377
661	6580	2365
662	6591	2356
663	6602	2346
664	6609	2335
665	6616	2324
666	6623	2313
667	6633	2303
668	6642	2293
669	6647	2282
670	6656	2271
671	6663	2260
672	6668	2249
673	6674	2238
674	6682	2227
675	6692	2217
676	6700	2207
677	6709	2196
678	6717	2186
679	6725	2175
680	6731	2164
681	6739	2154
682	6749	2144
683	6759	2134
684	6770	2125
685	6779	2114
686	6788	2104
687	6797	2094
688	6805	2084
689	6814	2074
690	6824	2064
691	6833	2053
692	6845	2044
693	6855	2035
694	6867	2025
695	6874	2014
696	6886	2005
697	6897	1996
698	6904	1985
699	6916	1976
700	6923	1965
701	6930	1954
702	6942	1945
703	6952	1935
704	6971	1928
705	6982	1918
706	6995	1909
707	7004	1899
708	7014	1889
709	7025	1880
710	7036	1870
711	7043	1859
712	7053	1849
713	7062	1839
714	7070	1829
715	7077	1818
716	7085	1808
717	7091	1797
718	7098	1786
719	7106	1776
720	7116	1766
721	7124	1756
722	7133	1746
723	7142	1736
724	7150	1725
725	7157	1715
726	7164	1704
727	7172	1694
728	7183	1685
729	7191	1674
730	7200	1664
731	7207	1654
732	7213	1643
733	7222	1633
734	7228	1622
735	7234	1612
736	7240	1601
737	7249	1591
738	7255	1580
739	7263	1570
740	7270	1560
741	7279	1549
742	7286	1539
743	7297	1530
744	7307	1520
745	7315	1510
746	7322	1499
747	7328	1489
748	7336	1479
749	7343	1468
750	7352	1458
751	7358	1448
752	7363	1437
753	7371	1427
754	7380	1417
755	7388	1407
756	7397	1397
757	7403	1386
758	7410	1376
759	7417	1366
760	7424	1356
761	7432	1346
762	7438	1335
763	7447	1325
764	7456	1315
765	7463	1305
766	7474	1296
767	7480	1285
768	7486	1275
769	7497	1265
770	7504	1255
771	7512	1245
772	7518	1235
773	7525	1225
774	7531	1214
775	7540	1205
776	7547	1194
777	7553	1184
778	7561	1174
779	7568	1164
780	7577	1154
781	7586	1144
782	7591	1134
783	7598	1124
784	7604	1114
785	7611	1103
786	7619	1094
787	7628	1084
788	7635	1074
789	7641	1064
790	7649	1054
791	7657	1044
792	7663	1034
793	7670	1024
794	7679	1014
795	7686	1004
796	7691	994
797	7698	983
798	7704	973
799	7713	964
800	7723	954
801	7730	944
802	7737	934
803	7743	924
804	7751	914
805	7758	904
806	7765	894
807	7771	884
808	7780	875
809	7787	865
810	7793	855
811	7801	845
812	7808	835
813	7816	825
814	7823	815
815	7833	806
816	7838	796
817	7846	786
818	7854	776
819	7861	766
820	7868	757
821	7875	747
822	7883	737
823	7889	727
824	7897	717
825	7906	708
