iter	Logloss
0	0.6740755477
1	0.6551415096
2	0.6362920811
3	0.6206642274
4	0.6053288874
5	0.5920138017
6	0.5771983383
7	0.5635651264
8	0.5520573087
9	0.5412981062
10	0.531534923
11	0.5223639475
12	0.5141372229
13	0.5047870576
14	0.4977826054
15	0.4935195297
16	0.4873052027
17	0.4794498296
18	0.4738536025
19	0.4683574267
20	0.4637993562
21	0.458601864
22	0.453455992
23	0.4483867082
24	0.4447141012
25	0.4400980065
26	0.4372976852
27	0.4346082893
28	0.4309658363
29	0.4281512579
30	0.4269918664
31	0.4239355191
32	0.4224027189
33	0.4196100806
34	0.4162386779
35	0.41420666
36	0.4110840276
37	0.4089413119
38	0.4059651189
39	0.404053919
40	0.4025639436
41	0.4009543296
42	0.3996528652
43	0.3977233562
44	0.3962880504
45	0.3948989827
46	0.3934626345
47	0.3920378438
48	0.3913839224
49	0.3897204795
50	0.3887236465
51	0.3876048794
52	0.3867515977
53	0.3850760302
54	0.3847477821
55	0.3837375223
56	0.383067394
57	0.381869559
58	0.38171331
59	0.3809165245
60	0.379076508
61	0.377252271
62	0.3760174077
63	0.3754622488
64	0.374943881
65	0.3745425904
66	0.3743053183
67	0.373820588
68	0.3733451999
69	0.3724799579
70	0.3718758987
71	0.3714238593
72	0.3705746174
73	0.3704404872
74	0.370131802
75	0.3695697508
76	0.3682396175
77	0.367759415
78	0.3673765942
79	0.3659975413
80	0.3646438693
81	0.3643959846
82	0.3636760018
83	0.3628443275
84	0.3622721135
85	0.361794031
86	0.3614025893
87	0.3610186451
88	0.3605744763
89	0.3600462837
90	0.3598687935
91	0.3592500151
92	0.3585265733
93	0.3583228334
94	0.3581096313
95	0.3574754508
96	0.3570766782
97	0.3559657759
98	0.3549567452
99	0.3543255293
100	0.3537513341
101	0.3532970004
102	0.3532190298
103	0.3526262828
104	0.3519017525
105	0.3513493388
106	0.3508731737
107	0.3499033438
108	0.3496632457
109	0.3494119975
110	0.3489099127
111	0.3480181796
112	0.3475972333
113	0.3471986672
114	0.3470388017
115	0.3458985432
116	0.3453255839
117	0.3443507783
118	0.3440530003
119	0.3437711405
120	0.3434382906
121	0.3432746096
122	0.3429754162
123	0.3426343202
124	0.3412623993
125	0.3406094683
126	0.34012966
127	0.3397578025
128	0.3391721274
129	0.3390028185
130	0.3386568641
131	0.3377406815
132	0.3373931775
133	0.3369761789
134	0.3368975266
135	0.3364669221
136	0.3361464676
137	0.33586971
138	0.3357418918
139	0.3354753211
140	0.3352517582
141	0.3348499137
142	0.3346258366
143	0.3342629927
144	0.3340785021
145	0.3333736317
146	0.332657091
147	0.332039382
148	0.3317520047
149	0.3317127881
150	0.3314952835
151	0.3312215946
152	0.3306489458
153	0.330327241
154	0.3299984832
155	0.3297742717
156	0.329539884
157	0.329101711
158	0.3284170126
159	0.3281747005
160	0.3276624557
161	0.3272308904
162	0.3266876808
163	0.3261971669
164	0.325931148
165	0.3255888631
166	0.3254136801
167	0.3250626769
168	0.3246763221
169	0.324640687
170	0.3244036138
171	0.3242545419
172	0.3237139432
173	0.3233867989
174	0.3233471716
175	0.3231297591
176	0.3227543084
177	0.3223771738
