iter	Logloss
0	0.6792943129
1	0.6672747175
2	0.6504404268
3	0.6358721935
4	0.6232287734
5	0.6104796868
6	0.6007947092
7	0.5893452766
8	0.5802654147
9	0.5691087621
10	0.5596172978
11	0.5508280832
12	0.5421456904
13	0.5338816943
14	0.5245256345
15	0.5195415646
16	0.5149372431
17	0.5090174083
18	0.5019976658
19	0.4959935123
20	0.4926149137
21	0.4886038669
22	0.4821560882
23	0.4771786934
24	0.4743057728
25	0.4712191802
26	0.4670265545
27	0.4636654826
28	0.460596737
29	0.4576378225
30	0.4546634385
31	0.4526856115
32	0.4483620124
33	0.4457381233
34	0.4435174486
35	0.4424127896
36	0.4395180949
37	0.4381368605
38	0.4366714994
39	0.4347234056
40	0.4319383871
41	0.4293947586
42	0.4269664546
43	0.4255103356
44	0.4241811999
45	0.4232423832
46	0.4215155753
47	0.4193446472
48	0.4179077853
49	0.4167980743
50	0.4161743024
51	0.4147403879
52	0.4121247138
53	0.4102354829
54	0.4082433961
55	0.4072685537
56	0.4065051026
57	0.4058386603
58	0.4046249436
59	0.4032623733
60	0.4020269452
61	0.4007566337
62	0.4002514717
63	0.3995214332
64	0.3987226957
65	0.3978240238
66	0.3971218488
67	0.3965737769
68	0.3953641256
69	0.3941102066
70	0.3920061415
71	0.3913149465
72	0.3907654618
73	0.3903315896
74	0.3897038468
75	0.3878724692
76	0.3873811877
77	0.3866994737
78	0.3861708826
79	0.3853543413
80	0.3846730752
81	0.3837873795
82	0.3820814362
83	0.3811687519
84	0.380692777
85	0.3804383952
86	0.3802129606
87	0.378417689
88	0.3781584881
89	0.3774954409
90	0.3770000956
91	0.3764686951
92	0.3759118753
93	0.3757402924
94	0.37538632
95	0.375006718
96	0.3738469624
97	0.3723169504
98	0.3722203324
99	0.3719325586
100	0.3716241049
101	0.3713009598
102	0.3710079933
103	0.3702917849
104	0.36925695
105	0.3690287122
106	0.3684053333
107	0.3680936606
108	0.3675150037
109	0.366616708
110	0.3662305018
111	0.3657479849
112	0.3648446811
113	0.3646712643
114	0.3642805186
115	0.3638329586
116	0.3632817509
117	0.3630085516
118	0.3626063259
119	0.3619140308
120	0.3615035171
121	0.3612294984
122	0.3609394071
123	0.3607886943
124	0.3606183632
125	0.3603040705
126	0.359314417
127	0.3590734585
128	0.3586478485
129	0.3582380162
130	0.3572350075
131	0.3568237331
132	0.3566864436
133	0.356621016
134	0.3562099278
135	0.3558053592
136	0.3553497349
137	0.3547804167
138	0.3546295589
139	0.3540737999
140	0.3538583061
141	0.3537710118
142	0.3535673116
143	0.3533721081
144	0.3531970668
145	0.3529268655
146	0.3525211919
147	0.3522311928
148	0.3521716484
149	0.3518602501
150	0.3517523782
151	0.3516249582
152	0.3502808963
153	0.3502078009
154	0.3500245254
155	0.3494001073
156	0.3492126742
157	0.3490433843
158	0.3484577713
159	0.3483146199
160	0.3480773468
161	0.347939988
162	0.3476656758
163	0.3474078903
164	0.3471151846
165	0.3468679648
166	0.3464747165
167	0.3462296116
168	0.3460451829
169	0.3458029015
170	0.3456220163
171	0.3455806473
172	0.3441785096
173	0.3438554756
174	0.343735047
175	0.3436081457
176	0.3433484301
177	0.3432454209
178	0.3430473574
179	0.3424511788
180	0.3422445066
181	0.3420926339
182	0.341857847
183	0.3417575534
184	0.3416570845
185	0.341550233
186	0.3415234661
187	0.3413355607
188	0.3411170264
189	0.3410013974
190	0.3406441362
191	0.3405027174
192	0.3404828728
193	0.340180684
194	0.3399860197
195	0.3398289884
196	0.3397149377
197	0.3389881006
198	0.3388021669
199	0.3387061637
