iter	RMSE
0	37.54528957
1	36.44335333
2	35.46934805
3	34.52120864
4	33.66092081
5	32.85689771
6	32.15117947
7	31.50298872
8	30.90099715
9	30.37824504
10	29.89560144
11	29.45372793
12	28.97183106
13	28.54909274
14	28.20860679
15	27.84236067
16	27.52195275
17	27.21708761
18	26.95593254
19	26.65821708
20	26.45298234
21	26.2221803
22	26.03665896
23	25.79844859
24	25.61138711
25	25.43798008
26	25.29018795
27	25.11258383
28	24.95228968
29	24.82041863
30	24.69885906
31	24.59308783
32	24.47325728
33	24.33599585
34	24.19491182
35	24.09904166
36	24.01920992
37	23.92536279
38	23.83531073
39	23.73894913
40	23.72284472
41	23.64188406
42	23.54638146
43	23.51356555
44	23.50101213
45	23.42529306
46	23.33250076
47	23.26451352
48	23.22802782
49	23.14500357
50	23.06091027
51	22.99185387
52	22.97914317
53	22.88167361
54	22.81938928
55	22.80594725
56	22.77880569
57	22.7192025
58	22.70784599
59	22.65742968
60	22.6171463
61	22.55609871
62	22.49747245
63	22.46028428
64	22.4482833
65	22.39450436
66	22.38399561
67	22.36233199
68	22.31732596
69	22.26590611
70	22.22256816
71	22.17852387
72	22.16547718
73	22.08968527
74	22.08325433
75	22.02795843
76	21.99814449
77	21.9280859
78	21.92130008
79	21.89998724
80	21.89004324
81	21.85292598
82	21.84415496
83	21.8009904
84	21.79584435
85	21.7905812
86	21.77942566
87	21.76829106
88	21.73917943
89	21.68961731
90	21.62974717
91	21.58697464
92	21.54227705
93	21.50173973
94	21.45641176
95	21.42154395
96	21.38908249
97	21.33541367
98	21.30093596
99	21.26570114
100	21.23669084
101	21.19455493
102	21.15908369
103	21.11741084
104	21.09676601
105	21.08419741
106	21.07914425
107	21.0537174
108	21.00073292
109	20.97070856
110	20.92270217
111	20.8835769
112	20.86945533
113	20.84546204
114	20.80057186
115	20.7776891
116	20.74094258
117	20.70716421
118	20.67325382
119	20.63471387
120	20.60608112
121	20.56914078
122	20.53614547
123	20.50235743
124	20.4637448
125	20.43724628
126	20.38734143
127	20.35080424
128	20.32117581
129	20.31154784
130	20.29576123
131	20.28675512
132	20.26758365
133	20.25197858
134	20.2313843
135	20.21788959
136	20.21385992
137	20.20958544
138	20.17142475
139	20.16749882
140	20.1274091
141	20.12369525
142	20.09197197
143	20.04870427
144	20.01367488
145	20.00341778
146	19.96822438
147	19.92701265
148	19.91516997
149	19.90074409
150	19.86935959
151	19.86504452
152	19.85776316
153	19.83023213
154	19.79538842
155	19.75643566
156	19.72087734
157	19.71773025
158	19.71251545
159	19.68330623
160	19.65740609
161	19.63121294
162	19.61848739
163	19.58037374
164	19.57582742
165	19.54819541
166	19.51635087
167	19.49484771
168	19.47072419
169	19.46367524
170	19.42891966
