iter	Logloss
0	0.678642206
1	0.6609416441
2	0.6454136666
3	0.6287845913
4	0.6142728264
5	0.6006556042
6	0.5884703068
7	0.5744425092
8	0.5642519672
9	0.5540967134
10	0.5439644795
11	0.5357129581
12	0.5272889836
13	0.5202636918
14	0.5139285936
15	0.5081468785
16	0.4998388752
17	0.494309629
18	0.4890927803
19	0.4845142639
20	0.4784727325
21	0.4754256618
22	0.4713014532
23	0.4657065403
24	0.4612560141
25	0.4584404656
26	0.4525202725
27	0.4499700199
28	0.4475705293
29	0.4451138711
30	0.4432106254
31	0.4412095018
32	0.4394661017
33	0.4374677819
34	0.4350413809
35	0.4322300438
36	0.4294680437
37	0.4273530187
38	0.4259873999
39	0.4244434437
40	0.4234108925
41	0.4206785873
42	0.4198001111
43	0.4185153152
44	0.4171719075
45	0.4156192822
46	0.4130401265
47	0.4113639387
48	0.4105625395
49	0.40932606
50	0.406803916
51	0.4056435863
52	0.4046893722
53	0.4038641584
54	0.4031209281
55	0.4022583436
56	0.401446655
57	0.4000050996
58	0.3992685853
59	0.3986650867
60	0.3974693624
61	0.3968695222
62	0.3955216786
63	0.395071296
64	0.3940505668
65	0.3923789901
66	0.390039438
67	0.3895711651
68	0.3887217382
69	0.3880248015
70	0.3876727674
71	0.3871752376
72	0.3868332921
73	0.3862957563
74	0.3847174313
75	0.3834621026
76	0.3826002645
77	0.382101257
78	0.3817044381
79	0.3812034505
80	0.3808935835
81	0.3804567529
82	0.3799392332
83	0.3796914881
84	0.3789380231
85	0.3782620095
86	0.3778755661
87	0.3775592478
88	0.3769636494
89	0.3766690569
90	0.3762831039
91	0.3759281595
92	0.3751341926
93	0.3747354679
94	0.3744639272
95	0.3741334139
96	0.373200064
97	0.3729835031
98	0.3726835069
99	0.372144892
100	0.3715776985
101	0.371448503
102	0.3711742511
103	0.3706198936
104	0.3696437486
105	0.3694510483
106	0.3690492559
107	0.3687768665
108	0.3684999932
109	0.3680033392
110	0.3673146131
111	0.3669037315
112	0.3660522124
113	0.3656324002
114	0.365141492
115	0.3648834178
116	0.3645758484
117	0.3644406884
118	0.3637808604
119	0.3635851279
120	0.3634508037
121	0.3632484147
122	0.3629996584
123	0.3627677275
124	0.3626409014
125	0.3620742923
126	0.3618432397
127	0.3612687175
128	0.3609908905
129	0.3603486356
130	0.3595359567
131	0.3593261832
132	0.3591043139
133	0.358856968
134	0.3586528225
135	0.3582373088
136	0.3579848373
137	0.3577939342
138	0.3575369934
139	0.3574307898
140	0.3566447227
141	0.3565595231
142	0.3562405512
143	0.3559273483
144	0.355743021
145	0.3553940928
146	0.3549493546
147	0.3548672823
148	0.3545526085
149	0.354281048
150	0.3540251681
151	0.3536812759
152	0.3533919102
153	0.3531088535
154	0.3529563171
155	0.3528124149
156	0.3522170771
157	0.3520962379
158	0.3519610673
159	0.3511818061
160	0.3510740581
161	0.3507154064
162	0.3504613522
163	0.3502976631
164	0.3502164859
165	0.3500830427
166	0.3500142244
167	0.3499335803
168	0.3497709808
169	0.3495165684
170	0.3493251891
171	0.3491692779
172	0.3489949205
173	0.3488717135
174	0.3483736896
175	0.3482230102
176	0.3481990096
177	0.3480595217
178	0.3473707508
179	0.3473103016
180	0.3472550595
181	0.3470124046
182	0.3469389319
183	0.3466069011
184	0.3463598224
185	0.346266496
186	0.3461680469
187	0.3456547016
188	0.34520167
189	0.3450673628
190	0.3444340419
191	0.3442228897
192	0.3441510833
193	0.3440118369
194	0.3439308267
195	0.3433792322
196	0.3431302628
197	0.3430857983
198	0.3430367778
199	0.3428319733
200	0.3426768061
201	0.3424966797
202	0.3421178077
203	0.3419425356
204	0.3418062558
205	0.3408818009
206	0.3406880708
207	0.3406282632
208	0.3399905603
209	0.3397941818
210	0.3393021902
211	0.3389579046
212	0.3383635924
213	0.3381012234
214	0.3378950329
215	0.3377018737
216	0.3374228364
217	0.3371548812
218	0.336847494
219	0.3366753054
220	0.3366199406
221	0.3364481092
222	0.3358110695
223	0.3356492154
224	0.3351780392
225	0.3350578819
226	0.3347254566
227	0.3345991321
228	0.3343313786
229	0.3340506845
230	0.3334753469
231	0.3331674786
232	0.3329599462
233	0.3328002239
234	0.3324448072
235	0.3321446284
236	0.3320993333
237	0.332053259
238	0.3319092114
239	0.3317268904
240	0.3310470372
241	0.3310014649
242	0.3308189264
243	0.330693362
244	0.3303590113
245	0.3301906629
246	0.3297181775
247	0.329467859
248	0.329358573
249	0.329217227
250	0.3291172436
251	0.3288269017
252	0.3283654933
253	0.3282066408
254	0.3281516276
255	0.3279218808
256	0.3276177642
257	0.3274772737
258	0.3273410229
259	0.3271800978
260	0.3269538225
261	0.3264476737
262	0.3260856454
263	0.3257366771
264	0.3255750788
265	0.3253112573
266	0.3252080375
267	0.3249669963
268	0.3244123494
269	0.3243399415
270	0.3237637696
271	0.3235222685
272	0.3228863942
273	0.3228114239
274	0.3223805264
275	0.3219828771
276	0.3218420328
277	0.3216701958
278	0.3214254299
279	0.3211789926
280	0.3210731363
281	0.3207227455
282	0.3205938648
283	0.3204944281
284	0.3195664101
285	0.3193307162
286	0.3188221463
287	0.3178196153
288	0.3170428111
289	0.3165371133
290	0.3162792945
291	0.3161262366
292	0.3160104615
293	0.3152539727
294	0.3151036312
295	0.3146249039
296	0.3141335512
297	0.3138726216
298	0.3132158389
299	0.3125830789
300	0.3120147504
301	0.3115663144
302	0.3111980258
303	0.3110794856
304	0.3101684625
305	0.3090902104
306	0.3081348371
307	0.3073179894
308	0.3069353165
309	0.3060180733
310	0.30586043
311	0.3049859013
312	0.3047273748
313	0.3042123962
314	0.3039470565
315	0.3036359691
316	0.303297753
317	0.3025433711
318	0.3018648723
319	0.3012098396
320	0.3005879444
321	0.2995777316
322	0.2991335019
323	0.2985134991
324	0.2976487337
325	0.297201333
326	0.2963010544
327	0.2955497039
328	0.2948521409
329	0.293763113
330	0.2925795169
331	0.2921454102
332	0.2912595631
333	0.2907960995
334	0.2903339419
335	0.2898616268
336	0.2890456969
337	0.2881619735
338	0.2872172794
339	0.2870683104
340	0.2863859165
341	0.285691559
342	0.2851885412
343	0.2843346494
344	0.2836195636
345	0.2826565735
346	0.2817858228
347	0.2811592974
348	0.2808808117
349	0.2800908292
350	0.2793903181
351	0.2785977959
352	0.2777244014
353	0.2768833674
354	0.2762677339
355	0.2759087614
356	0.2754474841
357	0.2748324522
358	0.2742345584
