iter	Passed	Remaining
0	9	9268
1	34	17033
2	44	14721
3	56	14028
4	72	14377
5	86	14326
6	113	16125
7	118	14693
8	125	13822
9	129	12856
10	134	12069
11	138	11404
12	143	10928
13	150	10593
14	155	10184
15	159	9810
16	163	9473
17	169	9243
18	173	8965
19	178	8722
20	191	8928
21	270	12025
22	283	12046
23	304	12385
24	323	12609
25	336	12601
26	344	12408
27	351	12208
28	359	12040
29	368	11925
30	382	11943
31	453	13733
32	457	13413
33	470	13354
34	477	13161
35	484	12973
36	494	12857
37	503	12748
38	518	12785
39	527	12660
40	542	12677
41	552	12591
42	562	12527
43	572	12438
44	580	12314
45	596	12362
46	609	12353
47	618	12268
48	627	12173
49	637	12107
50	646	12026
51	657	11991
52	667	11928
53	673	11804
54	699	12020
55	721	12170
56	733	12134
57	744	12096
58	756	12060
59	765	11990
60	773	11914
61	787	11906
62	798	11881
63	811	11870
64	827	11899
65	832	11782
66	839	11685
67	846	11596
68	851	11489
69	856	11377
70	864	11306
71	870	11226
72	877	11142
73	882	11048
74	890	10980
75	900	10947
76	903	10833
77	914	10805
78	919	10723
79	928	10679
80	935	10613
81	941	10544
82	949	10485
83	956	10432
84	964	10384
85	970	10309
86	975	10235
87	980	10157
88	987	10107
89	992	10037
90	998	9978
91	1009	9959
92	1016	9914
93	1024	9871
94	1028	9795
95	1037	9766
96	1046	9744
97	1051	9680
98	1056	9615
99	1064	9578
100	1069	9523
101	1075	9471
102	1080	9412
103	1088	9378
104	1098	9360
105	1102	9298
106	1107	9242
107	1115	9214
108	1120	9158
109	1128	9132
110	1137	9111
111	1144	9075
112	1147	9009
113	1152	8957
114	1157	8909
115	1160	8842
116	1165	8792
117	1172	8765
118	1176	8713
119	1182	8670
120	1187	8623
121	1194	8593
122	1200	8559
123	1207	8527
124	1211	8482
125	1215	8431
126	1220	8391
127	1230	8379
128	1235	8344
129	1245	8336
130	1254	8322
131	1343	8833
132	1401	9139
133	1412	9127
134	1418	9090
135	1429	9081
136	1445	9106
137	1455	9094
138	1459	9043
139	1467	9012
140	1474	8981
141	1480	8947
142	1484	8897
143	1492	8874
144	1499	8840
145	1505	8805
146	1510	8765
147	1518	8742
148	1522	8695
149	1527	8654
150	1533	8623
151	1548	8638
152	1556	8616
153	1572	8638
154	1578	8605
155	1585	8578
156	1593	8554
157	1598	8520
158	1604	8487
159	1610	8456
160	1619	8438
161	1625	8406
162	1631	8377
163	1636	8342
164	1642	8311
165	1649	8285
166	1653	8248
167	1655	8196
168	1658	8153
169	1664	8124
170	1675	8121
171	1681	8094
172	1689	8075
173	1692	8033
174	1695	7993
175	1700	7962
176	1707	7939
177	1713	7914
178	1720	7892
179	1725	7862
180	1731	7832
181	1738	7814
182	1743	7783
183	1750	7765
184	1756	7736
185	1762	7715
186	1767	7686
187	1774	7663
188	1781	7643
189	1787	7621
190	1795	7606
191	1799	7571
192	1803	7539
193	1814	7537
194	1819	7510
195	1824	7484
196	1828	7453
197	1835	7433
198	1841	7410
199	1845	7383
200	1854	7373
201	1867	7376
202	1875	7364
203	1886	7361
204	1895	7352
205	1902	7331
206	1908	7310
207	1914	7290
208	1921	7273
209	1927	7252
210	1931	7221
211	1933	7187
212	1938	7161
213	1942	7134
214	1947	7112
215	1951	7084
